Title,Title_URL,textweb_textsc1cyx7780,Price,textweb_textsc1cyx77801,chipsc11o9f920,button_styledbuttonsc1py7swr0
"LG 1.5 Ton 3 Star Inverter Window AC, PW-Q18WUXA (Copper Condenser, Top Air Discharge, 2022 Launch)",https://www.reliancedigital.in/lg-1-5-ton-3-star-inverter-window-ac-pw-q18wuxa-copper-condenser-top-air-discharge-2022-launch-/p/492664428,"32,990.00","60,990.00","46%(₹28,000)",OFFERS AVAILABLE, Wishlist
"Daikin 1.5 Ton 3 Star Inverter Window AC, FRWKL50UV (Power Chill Operation, Self Diagnosis, Econo Mode, 2023 Launch)",https://www.reliancedigital.in/daikin-1-5-ton-3-star-inverter-window-ac-frwkl50uv-power-chill-operation-self-diagnosis-econo-mode-2023-launch-/p/492664414,"37,100.00","40,800.00","9%(₹3,700)",OFFERS AVAILABLE, Wishlist
"Carrier 1.5 Ton 3 Star Window AC, CAW18EC3R32F0 (100% copper, Dust filter, Energy Saver Mode, 2023 launch)",https://www.reliancedigital.in/carrier-1-5-ton-3-star-window-ac-caw18ec3r32f0-100-copper-dust-filter-energy-saver-mode-2023-launch-/p/493692117,"29,490.00","45,090.00","35%(₹15,600)",OFFERS AVAILABLE, Wishlist
Voltas 1.5 Ton 3 Star Vertis Series 183V Vertis Elite Inverter Window AC,https://www.reliancedigital.in/voltas-1-5-ton-3-star-vertis-series-183v-vertis-elite-inverter-window-ac/p/493691994,"33,990.00","46,990.00","28%(₹13,000)",OFFERS AVAILABLE, Wishlist
Voltas 1.5 Ton 5 Star Vertis Series 185V Vertis Elite Inverter Window AC,https://www.reliancedigital.in/voltas-1-5-ton-5-star-vertis-series-185v-vertis-elite-inverter-window-ac/p/493691995,"34,590.00","49,990.00","31%(₹15,400)",OFFERS AVAILABLE, Wishlist
"Hitachi 1.5 Ton 3 Star Window AC, RAW318HFDOF (100 percent Copper Tubes, Filter Clean Indicator, Superfine Mesh Filter, 2023)",https://www.reliancedigital.in/hitachi-1-5-ton-3-star-window-ac-raw318hfdof-100-percent-copper-tubes-filter-clean-indicator-superfine-mesh-filter-2023-/p/493627046,"35,600.00",,,OFFERS AVAILABLE, Wishlist
"Bluestar 1 Ton 3 Star Window AC, WFB312LN (Turbo Cool, Comfort Sleep, 2023 Launch)",https://www.reliancedigital.in/bluestar-1-ton-3-star-window-ac-wfb312ln-turbo-cool-comfort-sleep-2023-launch-/p/493620617,"26,590.00","33,000.00","19%(₹6,410)",OFFERS AVAILABLE, Wishlist
"Bluestar 1.5 Ton 5 Star Window AC, WFA518LN (Turbo Cool, Comfort Sleep, 2023 Launch)",https://www.reliancedigital.in/bluestar-1-5-ton-5-star-window-ac-wfa518ln-turbo-cool-comfort-sleep-2023-launch-/p/493620623,"35,490.00","44,500.00","20%(₹9,010)",OFFERS AVAILABLE, Wishlist
"LG 1.5 Ton 5 Star wifi 4 in 1 convertible Inverter window AC, RW-Q18WWZA ( Dual Inverter Compressor, Anti corrosive Ocean Black Protection, 2023 launch)",https://www.reliancedigital.in/lg-1-5-ton-5-star-wifi-4-in-1-convertible-inverter-window-ac-rw-q18wwza-dual-inverter-compressor-anti-corrosive-ocean-black-protection-2023-launch-/p/493672595,"43,990.00","70,990.00","38%(₹27,000)",OFFERS AVAILABLE, Wishlist
"Godrej 1.5 Ton 3 star window AC, 18UTC3-W (Turbo Mode, Anti dust filter, R-32, 2023 launch)",https://www.reliancedigital.in/godrej-1-5-ton-3-star-window-ac-18utc3-w-turbo-mode-anti-dust-filter-r-32-2023-launch-/p/493691992,"28,990.00","41,990.00","31%(₹13,000)",OFFERS AVAILABLE, Wishlist
