Title,Title_URL,Image,textweb_textsc1cyx7780,Price,textweb_textsc1cyx77801,chipsc11o9f920,button_styledbuttonsc1py7swr0
"HISENSE 1.5 Ton 3 Star Convertible Inverter Split AC, ATC503HIB (5 in 1 Convertible, 100% Copper, Auto Clean, PM 2.5 Filter, Blue Fins, 2023 Launch)",https://www.reliancedigital.in/hisense-1-5-ton-3-star-convertible-inverter-split-ac-atc503hib-5-in-1-convertible-100-copper-auto-clean-pm-2-5-filter-blue-fins-2023-launch-/p/581110345,https://www.reliancedigital.in/medias/Hisense-SAC-15T-3SINV-ATC503HIB-581110345-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMjYxOHxpbWFnZS9qcGVnfGltYWdlcy9oNjUvaDNkLzEwMDEyMTk3ODQ3MDcwLmpwZ3wzYTQ0M2YyMmNiYmNhY2Y2OWNmZTNjODM2NGM0YzMzOGI0MGNkODhhMDljYmFiN2E1ZjFhOGY4MjU2ZjJhMTU1,"33,990.00","49,990.00","32%(₹16,000)",OFFERS AVAILABLE, Wishlist
"Hisense 1.5 Ton 5 Star Convertible Inverter Split AC, ATCW515HJP (5 in 1 Convertible, PM 2.5 Filter, 100 per cent Copper, Auto Clean, 2023 Launch)",https://www.reliancedigital.in/hisense-1-5-ton-5-star-convertible-inverter-split-ac-atcw515hjp-5-in-1-convertible-pm-2-5-filter-100-per-cent-copper-auto-clean-2023-launch-/p/581110545,https://www.reliancedigital.in/medias/Hisense-ATCW515HJP-Inverter-Split-AC-581110545-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w1MTg1fGltYWdlL2pwZWd8aW1hZ2VzL2g1MC9oYmIvMTAwMTI5NjYzODc3NDIuanBnfDg5NmZlOWU5NjJhOTkxYTRhZGZkNWZlZmI1OTA5YjdjZmIxNWY2MjkyODVkNDE1YmU4ZWE4YzkzOGUyOWU5YzU,"36,990.00","59,490.00","38%(₹22,500)",OFFERS AVAILABLE, Wishlist
"LG 1.5 Ton 3 Star Inverter Window AC, PW-Q18WUXA (Copper Condenser, Top Air Discharge, 2022 Launch)",https://www.reliancedigital.in/lg-1-5-ton-3-star-inverter-window-ac-pw-q18wuxa-copper-condenser-top-air-discharge-2022-launch-/p/492664428,https://www.reliancedigital.in/medias/LG-PW-Q18WUXA-Air-Conditioner-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNzYxNHxpbWFnZS9qcGVnfGltYWdlcy9oMjAvaGRhLzk3NzU4NzA3MDU2OTQuanBnfDYyNGM1MGI3MjlmZjRmZjQ1YTgwMWEwOGI2ZGQ0YzgwNDY2NTBmZTgxYTkxYjU5NGMzY2E2ZTY0YTE1NzhlMzU,"32,990.00","60,990.00","46%(₹28,000)",OFFERS AVAILABLE, Wishlist
"Sansui 1 Ton 3 star 4 in 1 Convertible Inverter split AC, JSE123SI2301 (100 Percent copper, High cooling capacity 11594 BTU, High ISEER 3.9, 3 Yr PCB Warranty, 2023 Launch",https://www.reliancedigital.in/sansui-1-ton-3-star-4-in-1-convertible-inverter-split-ac-jse123si2301-100-percent-copper-high-cooling-capacity-11594-btu-high-iseer-3-9-3-yr-pcb-warranty-2023-launch/p/581110290,https://www.reliancedigital.in/medias/Sansui-JSP183SI2301-Air-Conditioner-581110290-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDYyN3xpbWFnZS9qcGVnfGltYWdlcy9oMDMvaGY0Lzk5NTI2Njg2ODAyMjIuanBnfDcxNzlkZGQxZmFiYjJjZTlhMTUyMWMyN2RkNjk4ZTExYWY0NzNmYTBkYTI3ZTllZDllZmI3NzQ5ZGE4OGJlNTc,"26,990.00","51,990.00","48%(₹25,000)",OFFERS AVAILABLE, Wishlist
"Lloyd 1.5 Ton 3 star 5-in-1 Convertible Inverter Split AC, GLS18I3FWBBV/3LWBBA (PM 2.5 Filter, 4 Way Swing, Cools at 52 degreeC, 100 Per. Copper, Wifi Ready, Turbo Cool, Golden Fin Evaporator, 2023 launch)",https://www.reliancedigital.in/lloyd-1-5-ton-3-star-5-in-1-convertible-inverter-split-ac-gls18i3fwbbv-3lwbba-pm-2-5-filter-4-way-swing-cools-at-52-degreec-100-per-copper-wifi-ready-turbo-cool-golden-fin-evaporator-2023-launch-/p/581027120,https://www.reliancedigital.in/medias/LLOYD-15T-3SINV-GLS18I3FWBBV-SAC-581027120-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTE1N3xpbWFnZS9wbmd8aW1hZ2VzL2hlYS9oMGQvOTk2NzExMDIyNTk1MC5wbmd8MjY5MTcxYTM5YzRkNmZmNGRlYzM0MjU1MGUxNDFhZjVmMDc5NGQ2YzQ0YTJjMGEwMmRmOTBlOWE1MzNkMDI5Yg,"32,994.00","60,990.00","46%(₹27,996)",OFFERS AVAILABLE, Wishlist
"BLUE STAR 1.5 Ton 3 Star 5 in 1 convertible Inverter Split AC IC/ID318MKU (100 Percent copper, Cooling Mode, Turbo Mode, Turbo Cool, Comfort sleep, 2023 launch)",https://www.reliancedigital.in/blue-star-1-5-ton-3-star-5-in-1-convertible-inverter-split-ac-ic-id318mku-100-percent-copper-cooling-mode-turbo-mode-turbo-cool-comfort-sleep-2023-launch-/p/581110330,https://www.reliancedigital.in/medias/BLUESTAR-IC318MKU-Split-Air-conditioner-581110330-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxODg3M3xpbWFnZS9qcGVnfGltYWdlcy9oMDYvaDZjLzk5NjUzNTg3NDM1ODIuanBnfGRmYzQxYjdiMjc1YTY4ZTkwY2RmMGVlM2E0ZDc5YTAyOTYzNzdiMzIwYjgzNGE2MDBjYjllY2I0YmYyZTVmOTc,"39,990.00","61,500.00","35%(₹21,510)",OFFERS AVAILABLE, Wishlist
"LG 1.5 Ton 5 Star Inverter Split AC, RS-Q19KWZE (Wifi, 100 Percent copper, AI Plus Dual Inverter Compressor, 4 Way Swing, Anti Corrosive Ocean Black Protection, 2023 launch)",https://www.reliancedigital.in/lg-1-5-ton-5-star-inverter-split-ac-rs-q19kwze-wifi-100-percent-copper-ai-plus-dual-inverter-compressor-4-way-swing-anti-corrosive-ocean-black-protection-2023-launch-/p/581110280,https://www.reliancedigital.in/medias/LG-RS-Q19KWZE-Air-Conditionerr-581110280-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzg2M3xpbWFnZS9qcGVnfGltYWdlcy9oNTUvaDY3Lzk5ODM3MTYwOTgwNzguanBnfDhkYjk3ODhlYmIxYWVlNzJjY2QzZTdhMDA4MGQ0NTFmYzgwZmI0MjQzMWIwZTk5MzU0ZWJlZmNkZTRmYjQ0NTA,"49,990.00","81,990.00","39%(₹32,000)",OFFERS AVAILABLE, Wishlist
"Voltas 1.5 Ton 3 Star 4-in-1 Convertible Inverter Split AC, 183V Vectra Magnum (100 percent Copper, Turbo tech, Dual temp display, Anti-Fungal, 2023 launch)",https://www.reliancedigital.in/voltas-1-5-ton-3-star-4-in-1-convertible-inverter-split-ac-183v-vectra-magnum-100-percent-copper-turbo-tech-dual-temp-display-anti-fungal-2023-launch-/p/581110348,https://www.reliancedigital.in/medias/Voltas-183-VECTRA-MAGNUM-Split-Air-Conditioner-581110348-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNjAxNHxpbWFnZS9qcGVnfGltYWdlcy9oMjkvaDc2Lzk5Njg4Mzk2ODgyMjIuanBnfGYyNjAxZTRhNDBmMDQ4N2U0OTkzZjNjZTIzODcwMTY2Yjg1Y2NhY2I1MzhlYzJlMjQ3NjhkYjMyMzQ1MWNmMjE,"35,990.00","64,990.00","45%(₹29,000)",OFFERS AVAILABLE, Wishlist
"Voltas 1.5 Ton 5 Star 4-in-1 Convertible Inverter Split AC, 185V Vectra Magnum (Turbo tech, Dual temp display, Anti Fungal, 100 percent Copper 2023 launch)",https://www.reliancedigital.in/voltas-1-5-ton-5-star-4-in-1-convertible-inverter-split-ac-185v-vectra-magnum-turbo-tech-dual-temp-display-anti-fungal-100-percent-copper-2023-launch-/p/581110351,https://www.reliancedigital.in/medias/Voltas-VOL185VVEC-MAG-Split-Air-Conditioner-581110351-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNjAwOHxpbWFnZS9qcGVnfGltYWdlcy9oMjAvaDY5Lzk5Njg4NDgyMDc5MDIuanBnfGUwNWM3NzE5ZTNmOGVmZjFiYzQ4ZDJhNmY1MjFmMDZjNjZhZWM3Nzk0YjI1MjllYWQ1OGFkOTI4NTAyOWY5ODg,"42,490.00","75,990.00","44%(₹33,500)",OFFERS AVAILABLE, Wishlist
"Lloyd 1.5 Ton 3 star Window AC GLW18C3YWSEW (Cools at 48 degree C , 100 percent copper, Blue Fin Coils, 2023 launch)",https://www.reliancedigital.in/lloyd-1-5-ton-3-star-window-ac-glw18c3ywsew-cools-at-48-degree-c-100-percent-copper-blue-fin-coils-2023-launch-/p/493627373,https://www.reliancedigital.in/medias/Lloyd-GLW18C3YWSEW-Air-Conditioners-493627373-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzNTgyN3xpbWFnZS9qcGVnfGltYWdlcy9oNDMvaGU3Lzk5NzQxNjY3NDkyMTQuanBnfDhhYWRkM2QwMjQzY2JkMzk3ZmZiOWIzMzdjM2Q2YjM4MjdiYjA0Mjc5YjJjYTRhNjdhNDRlOGRlMGRkN2VlM2I,"28,990.00","47,990.00","40%(₹19,000)",OFFERS AVAILABLE, Wishlist
"Lloyd 1.5 Ton 5 star Window AC GLW18C5XWGMR (Cools at 48 degree C , 100 percent copper, Blue Fin Coils, 2023 launch)",https://www.reliancedigital.in/lloyd-1-5-ton-5-star-window-ac-glw18c5xwgmr-cools-at-48-degree-c-100-percent-copper-blue-fin-coils-2023-launch-/p/493627374,https://www.reliancedigital.in/medias/Lloyd-LW18C5XWGMR-Window-Air-Conditioner-493627374-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzNTU3OHxpbWFnZS9qcGVnfGltYWdlcy9oYTEvaGU3Lzk5NjM3NTE4OTkxNjYuanBnfGJkM2JjMDU3OTJjYThjZTFmNDY2ZWVlZTI4YjAzYTU5ZThiZDY2MGNkNzg5MGFmN2U5OWIxYmEzMzBmZmExOTM,"34,990.00","54,990.00","36%(₹20,000)",OFFERS AVAILABLE, Wishlist
"Lloyd 1.5 Ton 5 star 5 in 1 Convertible Inverter split AC GLS18I5FWGEV (PM 2.5 Filter, 4 way swing, Cools at 52 degree C, 100 percent copper, wifi ready, Turbo Cool, Golden Fin Evaporator, 2023 launch)",https://www.reliancedigital.in/lloyd-1-5-ton-5-star-5-in-1-convertible-inverter-split-ac-gls18i5fwgev-pm-2-5-filter-4-way-swing-cools-at-52-degree-c-100-percent-copper-wifi-ready-turbo-cool-golden-fin-evaporator-2023-launch-/p/581027122,https://www.reliancedigital.in/medias/Lloyd-GLS18I5FWGEV-Airr-Conditioners-581027122-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxODM5MXxpbWFnZS9qcGVnfGltYWdlcy9oNjEvaDVkLzk5NzQxNjY0MjE1MzQuanBnfDQ2Mzc3ZGZhZTQyYTc5N2ExYzEyNWJmZjE0ZDg5MDZkYjM3ZThjNTFhODM5NjRiZjc1OWZkZWM4YmQzMzU3OTk,"42,990.00","67,990.00","37%(₹25,000)",OFFERS AVAILABLE, Wishlist
"Lloyd 2 Ton 3 star 5 in 1 Convertible Inverter split AC GLS24I3FWSEV (PM 2.5 Filter, 4 way swing, Cools at 52 degree C, 100 percent copper, wifi ready, Turbo Cool, Golden Fin Evaporator, , 2023 launch)",https://www.reliancedigital.in/lloyd-2-ton-3-star-5-in-1-convertible-inverter-split-ac-gls24i3fwsev-pm-2-5-filter-4-way-swing-cools-at-52-degree-c-100-percent-copper-wifi-ready-turbo-cool-golden-fin-evaporator-2023-launch-/p/581027121,https://www.reliancedigital.in/medias/Lloyd-GLS24I3FWSEV-Airr-Conditioners-581027121-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDIyOHxpbWFnZS9qcGVnfGltYWdlcy9oYjIvaGI1Lzk5NzQxNzA2ODEzNzQuanBnfDQ3MGZlMTI1NDJmODQ2M2NlYjkwZmE0MzM2OGFlYzMwYzhmODQ5MGZkNWVkZjQyN2E4ZGI1N2EyMDYxMzFkNDI,"50,990.00","77,990.00","35%(₹27,000)",OFFERS AVAILABLE, Wishlist
"LG 1.5 Ton 5 Star RS-Q19CNZE Inverter Split AC, White",https://www.reliancedigital.in/lg-1-5-ton-5-star-rs-q19cnze-inverter-split-ac-white/p/581110279,https://www.reliancedigital.in/medias/LG-RS-Q19CNZE-Air-Conditionerr-581110279-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzg2M3xpbWFnZS9qcGVnfGltYWdlcy9oNmUvaDE1Lzk5ODM3MTMxNDg5NTguanBnfGZmNzg4NDNmMzhhZWJiMTgxM2FkMGM1YWM1MGFlOWM1Y2FlYWVjYTQ0NDZjZDdlYzBiYzE0Y2VmMzQ1OWFlNDA,"49,990.00","75,990.00","34%(₹26,000)",OFFERS AVAILABLE, Wishlist
"LG 2 Ton 3 Star 6-in-1 Convertible Inverter Split AC, RS-Q24ENXE (100 Percent copper , AI Dual Inverter Compressor, 4 Way Swing, Anti Corrosive Ocean Black Protection, 2023 launch)",https://www.reliancedigital.in/lg-2-ton-3-star-6-in-1-convertible-inverter-split-ac-rs-q24enxe-100-percent-copper-ai-dual-inverter-compressor-4-way-swing-anti-corrosive-ocean-black-protection-2023-launch-/p/581110281,https://www.reliancedigital.in/medias/LG-RS-Q24ENXE-Air-Conditionerr-581110281-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzg2M3xpbWFnZS9qcGVnfGltYWdlcy9oMTEvaGVlLzk5ODM3MjkyMDUyNzguanBnfDI1ODg5YzBiMTNkNTJjYWI3Zjk0OTgyZDg1MDc4NTc0MWE5YjJmZTViMWY1ZDZmZjUzNjkyNjdjYzU1YTZiZTQ,"50,990.00","85,990.00","41%(₹35,000)",OFFERS AVAILABLE, Wishlist
"SAMSUNG 1.5 Ton 4 Star 5 in 1 convertible inverter split AC, AR18CYMZAWK (HD filter, wifi, 100 Percent copper, 2023 launch)",https://www.reliancedigital.in/samsung-1-5-ton-4-star-5-in-1-convertible-inverter-split-ac-ar18cymzawk-hd-filter-wifi-100-percent-copper-2023-launch-/p/581110404,https://www.reliancedigital.in/medias/Samsung-AR18CYMZAWK-Air-Conditioner-581110404-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMTU3OXxpbWFnZS9qcGVnfGltYWdlcy9oNmIvaGEzLzk5NjgzNDEyODY5NDIuanBnfDE0NDQwMjQ5ZWQ2NTdkZjAyOTA2N2Y5ZTNlODliYTZlMmRiZDhjNDc3YWU5ZTVhNThiNTgzNzgxZDgwZDY0ZDY,"38,990.00","64,990.00","40%(₹26,000)",OFFERS AVAILABLE, Wishlist
"Lloyd 1 Ton 3 star 5 in 1 Convertible Inverter split AC GLS12I3FWBBV (PM 2.5 Filter, 4 way swing, Cools at 52 degree C, 100 percent copper, wifi ready, Turbo Cool, Golden Fin Evaporator,  2023 launch)",https://www.reliancedigital.in/lloyd-1-ton-3-star-5-in-1-convertible-inverter-split-ac-gls12i3fwbbv-pm-2-5-filter-4-way-swing-cools-at-52-degree-c-100-percent-copper-wifi-ready-turbo-cool-golden-fin-evaporator-2023-launch-/p/581027119,https://www.reliancedigital.in/medias/LLOYD-3SINV-GLS12I3FWBBV-AC-581027119-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTE1N3xpbWFnZS9wbmd8aW1hZ2VzL2hiMS9oNjgvOTk2NzEwOTg5ODI3MC5wbmd8MTY3NmUwYTBiMzgwODAzNDkzYjRhNGZlOTExYzA5Y2Y0YjkxNGIyYTgzMTk5MmI2ZGMyYzhmMTk1YzMyZjBiMg,"29,994.00","50,990.00","41%(₹20,996)",OFFERS AVAILABLE, Wishlist
"Daikin 1.5 Ton 3 Star Inverter Split AC, ATKL50U (100 Percent Copper, 3D Airflow 4 Way Swing, Triple Display, 52 Feet Air throw, Dew Clean Technology, 2023)",https://www.reliancedigital.in/daikin-1-5-ton-3-star-inverter-split-ac-atkl50u-100-percent-copper-3d-airflow-4-way-swing-triple-display-52-feet-air-throw-dew-clean-technology-2023-/p/581027040,https://www.reliancedigital.in/medias/Daikin-ATKL50U-Air-Conditioners-581027040-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMjIyN3xpbWFnZS9qcGVnfGltYWdlcy9oNmUvaDk4Lzk5NzQwODU0NTE4MDYuanBnfGRhMzlmYTA5NGRjMjhkMTJhY2VmNDBmMGExY2I4ZmJlYWZiMzllOGYzYjU3NTE3OWI4ZWIxNGMwYjBlNDhjOWY,"36,090.00","58,400.00","38%(₹22,310)",OFFERS AVAILABLE, Wishlist
